,created_at,merged_at,closed_at,repo,title,author,state
1,2021-10-31 13:06:12,2021-10-31 13:07:57,2021-10-31 13:07:57,gpslogger,,,closed
2,2021-10-05 19:18:31,2021-10-31 11:12:53,2021-10-31 11:12:53,gpslogger,,,closed
3,2021-10-03 20:55:13,2021-10-31 10:59:56,2021-10-31 10:59:56,gpslogger,,,closed
4,2021-10-02 03:24:40,2021-10-03 09:04:51,2021-10-03 09:04:51,gpslogger,,,closed
5,2021-09-26 12:35:05,2021-10-01 17:31:18,2021-10-01 17:31:18,gpslogger,,,closed
6,2021-09-25 08:50:37,2021-10-01 17:38:37,2021-10-01 17:38:37,gpslogger,,,closed
7,2021-09-20 20:40:51,2021-09-22 21:53:01,2021-09-22 21:53:01,gpslogger,,,closed
8,2021-09-14 21:01:12,2021-09-23 06:45:22,2021-09-23 06:45:22,gpslogger,,,closed
9,2021-09-13 19:23:02,2021-09-14 19:12:20,2021-09-14 19:12:20,gpslogger,,,closed
10,2021-08-15 22:47:54,2021-08-17 19:07:16,2021-08-17 19:07:17,gpslogger,,,closed
11,2021-08-12 08:13:38,2021-08-15 19:28:30,2021-08-15 19:28:30,gpslogger,,,closed
12,2021-06-04 21:20:20,2021-07-21 17:53:08,2021-07-21 17:53:08,gpslogger,,,closed
13,2021-06-03 18:22:23,2021-06-04 18:50:57,2021-06-04 18:50:57,gpslogger,,,closed
14,2021-06-02 21:54:16,2021-06-03 17:23:15,2021-06-03 17:23:15,gpslogger,,,closed
15,2021-05-25 09:12:04,2021-06-02 19:42:05,2021-06-02 19:42:05,gpslogger,,,closed
16,2021-05-23 19:54:38,2021-05-23 21:52:25,2021-05-23 21:52:25,gpslogger,,,closed
17,2021-05-23 15:56:41,2021-05-23 19:41:42,2021-05-23 19:41:42,gpslogger,,,closed
18,2021-05-22 12:06:41,2021-05-22 12:10:41,2021-05-22 12:10:41,gpslogger,,,closed
19,2021-05-22 10:23:18,2021-05-22 10:38:36,2021-05-22 10:38:36,gpslogger,,,closed
21,2021-05-21 07:45:30,2021-05-21 17:58:27,2021-05-21 17:58:27,gpslogger,,,closed
22,2021-05-20 22:28:32,2021-05-21 07:33:08,2021-05-21 07:33:08,gpslogger,,,closed
23,2020-12-30 17:11:42,2021-01-06 19:15:00,2021-01-06 19:15:00,gpslogger,,,closed
24,2020-06-14 04:57:47,2021-05-20 22:42:00,2021-05-20 22:42:00,gpslogger,,,closed
25,2020-03-29 16:28:52,2021-05-23 19:41:42,2021-05-23 19:41:42,gpslogger,,,closed
28,2020-01-19 21:24:20,2020-02-06 18:06:42,2020-02-06 18:06:42,gpslogger,,,closed
